namecode,newname,impute,include,class,sotc08,sotc09,sotc10,sotc08_index,sotc09_index,sotc10_index
Part1-1-001,INTRO1,N,N,factor,INTRO1,INTRO1,INTRO1,155,171,2
Part1-1-002,QSB,Y,N,factor,QSB,QSB,QSB,2,2,3
Part1-1-003,QS3_02,N,N,integer,QS3_02,QS3_02,QS3_02,4,4,4
Part1-1-004,QS3,N,N,integer,QS3,QS3,QS3,3,3,5
Part1-1-005,QS3A,N,N,integer,QS3A,QS3A,QS3A,5,5,6
Part1-1-006,QD1,N,N,integer,QD1,QD1,QD1,65,71,7
Part1-1-007,QS4,N,N,factor,QS4,QS4,QS4,6,6,8
Part1-1-008,QS5,N,N,factor,QS5,QS5,QS5,7,7,9
Part1-1-009,QS5_2,N,N,integer,QS5_2,QS5_2,QS5_2,8,8,10
Part1-1-010,QCE1,N,N,factor,QCE1,QCE1,QCE1,9,11,13
Part1-1-011,QCE2,N,N,factor,QCE2,QCE2,QCE2,10,12,14
Part1-1-012,Q3A,N,N,factor,Q3A,Q3A,Q3A,11,13,15
Part1-1-013,Q3B,N,N,factor,Q3B,Q3B,Q3B,12,14,16
Part1-1-014,Q3C,N,N,factor,Q3C,Q3C,Q3C,13,15,17
Part1-1-015,Q5,N,N,factor,Q5,Q5,Q5,17,25,21
Part1-1-016,Q6,N,N,factor,Q6,Q6,Q6,18,26,22
Part1-1-017,Q6A,N,N,factor,Q6A,Q6A,Q6A,19,27,23
Part1-1-018,Q7A,N,N,factor,Q7A,Q7A,Q7A,20,28,24
Part1-1-019,Q7B,N,N,factor,Q7B,Q7B,Q7B,21,29,25
Part1-1-020,Q7C,N,N,factor,Q7C,Q7C,Q7C,22,30,26
Part1-1-021,Q7D,N,N,factor,Q7D,Q7D,Q7D,23,31,27
Part1-1-022,Q7E,N,N,factor,Q7E,Q7E,Q7E,24,32,28
Part1-1-023,Q7F,N,N,factor,Q7F,Q7F,Q7F,25,33,29
Part1-1-024,Q7G,N,N,factor,Q7G,Q7G,Q7G,26,34,30
Part1-1-025,Q7H,N,N,factor,Q7H,Q7H,Q7H,27,35,31
Part1-1-026,Q7I,N,N,factor,Q7I,Q7I,Q7I,28,36,32
Part1-1-027,Q7K,N,N,factor,Q7K,Q7K,Q7K,30,37,34
Part1-1-028,Q7L,N,N,factor,Q7L,Q7L,Q7L,31,38,35
Part1-1-029,Q7M,N,N,factor,Q7M,Q7M,Q7M,32,39,36
Part1-1-030,Q8A,N,N,factor,Q8A,Q8A,Q8A,33,40,40
Part1-1-031,Q8B,N,N,factor,Q8B,Q8B,Q8B,34,41,41
Part1-1-032,Q8C,N,N,factor,Q8C,Q8C,Q8C,35,42,42
Part1-1-033,Q8D,N,N,factor,Q8D,Q8D,Q8D,36,43,43
Part1-1-034,Q8E,N,N,factor,Q8E,Q8E,Q8E,37,44,44
Part1-1-035,Q8F,N,N,factor,Q8F,Q8F,Q8F,38,45,45
Part1-1-036,Q9,N,N,factor,Q9,Q9,Q9,39,46,47
Part1-1-037,Q10,N,N,factor,Q10,Q10,Q10,40,47,48
Part1-1-038,Q11,N,N,factor,Q11,Q11,Q11,41,48,50
Part1-1-039,Q13,N,N,factor,Q13,Q13,Q13,43,49,52
Part1-1-040,Q14,N,N,factor,Q14,Q14,Q14,44,50,53
Part1-1-041,Q15,N,N,factor,Q15,Q15,Q15,45,51,54
